month_id,subscriber_uid,city,fsa,services_subscribed_name,internet_service_level,internet_rgu,account_mrr,internet_mrr
1705,1522846,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,164.9,79.9
1705,6238737,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,133,75
1705,4772146,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,178,75
1705,5215332,FORT MCMURRAY,T9H,Internet,High Speed 20(GF),1,72,72
1705,1516930,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,175,62
1705,1519728,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 5,1,187,55
1705,1546879,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,217,75
1705,8910323,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,277,100
1705,5709748,FORT MCMURRAY,T9K,Internet - Phone,Internet 150,1,99.9,79.9
1705,8974114,FORT MCMURRAY,T9H,Internet,Internet 30,1,75,75
1705,9293644,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1541310,FORT MCMURRAY,T9K,Internet - Phone,High-Speed(GF),1,0,0
1705,1564888,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,0,0
1705,1513008,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,147,75
1705,1553499,FORT MCMURRAY,T9K,Video - Internet,Broadband 100(GGF),1,197,104
1705,9561520,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,69.9,50
1705,10245540,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,64.9,49.9
1705,1571162,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,208.9,79.9
1705,9644829,FORT MCMURRAY,T9K,Internet - Phone,Internet 15,1,54,11
1705,1567992,FORT MCMURRAY,T9H,Internet,Internet 150,1,69.9,69.9
1705,1522007,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,177,66
1705,1554014,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,216,65
1705,9917891,FORT MCMURRAY,T9H,Internet,Internet 60,1,50,50
1705,1547251,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 10(GF),1,159.95,58
1705,1512910,FORT MCMURRAY,T9K,Video - Internet - Phone,High-Speed(GF),2,220,75
