month_id,subscriber_uid,city,fsa,services_subscribed_name,internet_service_level,internet_rgu,account_mrr,internet_mrr
1704,1513604,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,142,66
1704,1513606,FORT MCMURRAY,T9K,Video - Internet,Internet 5,1,130,50
1704,1513591,FORT MCMURRAY,T9K,Video - Internet,Internet 5,1,80,55
1704,1513640,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,154.9,79.9
1704,1513642,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,143,70
1704,1513667,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1704,1513849,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,156,45
1704,1513791,FORT MCMURRAY,T9H,Internet,Internet 60,1,95,95
1704,1513986,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,189,57
1704,1513868,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,147,25.05
1704,1513890,FORT MCMURRAY,T9K,Video - Internet,Broadband 50(GGF),1,195,91
1704,1513920,FORT MCMURRAY,T9K,Internet,Internet 150,1,79.9,79.9
1704,1513967,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,138,45
1704,1513987,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,154,95
1704,1514174,FORT MCMURRAY,T9J,Video - Internet - Phone,Internet 150,1,200.9,79.9
1704,1514127,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,190.9,79.9
1704,1514177,FORT MCMURRAY,T9K,Video - Internet,High Speed 20(GF),1,162,53
1704,1514199,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,176,66
1704,1514230,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,190.99,75
1704,1516464,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,188.9,79.9
1704,1516502,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,114.95,62
1704,1516506,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,154,35.05
1704,1516431,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,252.9,79.9
1704,1516568,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,200.9,79.9
1704,1516604,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,173.9,49.9
1704,1516684,FORT MCMURRAY,T9H,Internet - Phone,High-Speed(GF),1,78,52
1704,1516727,FORT MCMURRAY,T9K,Video - Internet,High Speed 20(GF),1,171,72
1704,1516819,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,144.9,79.9
1704,1516831,FORT MCMURRAY,T9K,Video - Internet - Phone,Broadband 50(GGF),1,228,89
1704,1516841,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,131,66
1704,1516872,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 20(GF),1,217,57
1704,1516879,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,115.9,69.9
1704,1516881,FORT MCMURRAY,T9K,Video - Internet,Internet 60,1,233,95
1704,1516929,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,149,66
1704,1516946,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,149,73
1704,1516972,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,165.95,70
1704,1517003,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,142.85,46.8
1704,1517007,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,149,66
1704,1517196,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,212,35.05
1704,1517206,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,256,35.05
1704,1517226,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,234,73
1704,1517078,FORT MCMURRAY,T9H,Internet,High-Speed(GF),1,1.95,0
1704,1517134,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,195.79,35.05
1704,1517114,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,142,35.05
1704,1517030,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,134,62
1704,1520891,FORT MCMURRAY,T9J,Video - Internet,Internet 30,1,157.99,75
1704,1520726,FORT MCMURRAY,T9H,Video - Internet - Phone,High-Speed(GF),1,212,35.05
1704,1520705,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,175,75
1704,1520681,FORT MCMURRAY,T9H,Video - Internet,Internet 60,1,206,95
1704,1520609,FORT MCMURRAY,T9H,Video - Internet - Phone,Broadband 50(GGF),1,284,60
1704,1520611,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,154,66
1704,1520932,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,136,75
1704,1525592,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1704,1525463,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,150.9,49.9
1704,1525464,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 30,1,225,75
1704,1526561,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,168,75
1704,1526613,FORT MCMURRAY,T9K,Internet - Phone,Internet 150,1,84.9,69.9
1704,1526654,FORT MCMURRAY,T9H,Internet,Internet 150,1,79.9,79.9
1704,1526500,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1704,1533762,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 15,1,192,66
1704,1533806,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,189.9,79.9
1704,1534017,FORT MCMURRAY,T9K,Video - Internet,Internet 30,1,121,75
1704,1534224,FORT MCMURRAY,T9K,Internet - Phone,Internet 150,1,130.9,79.9
1704,1534387,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,118.85,40
1704,1534456,FORT MCMURRAY,T9K,Video - Internet - Phone,High-Speed(GF),1,180,63
1704,1534736,FORT MCMURRAY,T9K,Video - Internet,High Speed 10(GF),1,150,65
1704,1534755,FORT MCMURRAY,T9H,Video - Internet,Internet 30,1,146,70
1704,1534689,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,202.9,79.9
1704,1534926,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 20(GF),1,198,72
1704,1513912,FORT MCMURRAY,T9K,Video - Internet - Phone,High-Speed(GF),1,156,68
1704,1513913,FORT MCMURRAY,T9K,Video - Internet - Phone,High-Speed(GF),1,218,73
1704,1513900,FORT MCMURRAY,T9H,Internet,High-Speed(GF),1,73,73
1704,1513872,FORT MCMURRAY,T9H,Video - Internet,High-Speed(GF),1,156,35.05
1704,1513877,FORT MCMURRAY,T9K,Video - Internet,High-Speed Lite(GF),1,141,46
1704,1513940,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,94.95,66
1704,1513962,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 5,1,104,45
1704,1513992,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 150,1,94.9,46.8
1704,1514042,FORT MCMURRAY,T9H,Internet,Internet 5,1,50,50
1704,1514087,FORT MCMURRAY,T9H,Internet,Internet 15,1,56,56
1704,1514088,FORT MCMURRAY,T9H,Video - Internet,Internet 150,1,194.9,79.9
1704,1514104,FORT MCMURRAY,T9K,Video - Internet,Broadband 100(GGF),1,251,104
1704,1514192,FORT MCMURRAY,T9H,Internet - Phone,Internet 150,1,54.9,39.9
1704,1514140,FORT MCMURRAY,T9K,Video - Internet,Internet 15,1,156,61
1704,1514145,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 150,1,208.9,79.9
1704,1514168,FORT MCMURRAY,T9K,Video - Internet,Extreme(GF),1,218,46.05
1704,1514228,FORT MCMURRAY,T9K,Internet,Internet 30,1,75,75
1704,1514234,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,166,35.05
1704,1514241,FORT MCMURRAY,T9J,Video - Internet,Internet 30,1,140,75
1704,1516703,FORT MCMURRAY,T9H,Video - Internet,Internet 15,1,92,61
1704,1516835,FORT MCMURRAY,T9K,Video - Internet,High-Speed(GF),1,170.95,35.05
1704,1516924,FORT MCMURRAY,T9H,Video - Internet - Phone,Internet 30,1,161,75
1704,1517026,FORT MCMURRAY,T9K,Video - Internet,Extreme(GF),1,153,73
1704,1517041,FORT MCMURRAY,T9K,Video - Internet - Phone,Internet 15,1,190,66
1704,1517128,FORT MCMURRAY,T9K,Video - Internet,Internet 150,1,187.89,79.9
1704,1517154,FORT MCMURRAY,T9H,Video - Internet - Phone,High Speed 20(GF),1,205,72
